age,sex,inc,mort,ylds..years.lived.with.disability._rate_tbalc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
33,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,Tbalc,0,50,30,0,0,5,male_Tbalc
34,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,Tbalc,0,50,30,0,0,5,male_Tbalc
35,male,1.607655643806973e-5,1.0600760642938454e-5,4.663251769344113e-6,2.8289745686459113e-5,7997,Tbalc,0,50,35,0,0,5,male_Tbalc
36,male,1.607655643806973e-5,1.0600760642938454e-5,4.663251769344113e-6,2.8289745686459113e-5,7997,Tbalc,0,50,35,0,0,5,male_Tbalc
37,male,1.607655643806973e-5,1.0600760642938454e-5,4.663251769344113e-6,2.8289745686459113e-5,7997,Tbalc,0,50,35,0,0,5,male_Tbalc
38,male,1.607655643806973e-5,1.0600760642938454e-5,4.663251769344113e-6,2.8289745686459113e-5,7997,Tbalc,0,50,35,0,0,5,male_Tbalc
39,male,1.607655643806973e-5,1.0600760642938454e-5,4.663251769344113e-6,2.8289745686459113e-5,7997,Tbalc,0,50,35,0,0,5,male_Tbalc
40,male,5.294250699150224e-5,3.932704538698901e-5,1.5314954246162356e-5,9.218663889814034e-5,7179,Tbalc,0,50,40,0,0,5,male_Tbalc
41,male,5.294250699150224e-5,3.932704538698901e-5,1.5314954246162356e-5,9.218663889814034e-5,7179,Tbalc,0,50,40,0,0,5,male_Tbalc
42,male,5.294250699150224e-5,3.932704538698901e-5,1.5314954246162356e-5,9.218663889814034e-5,7179,Tbalc,0,50,40,0,0,5,male_Tbalc
43,male,5.294250699150224e-5,3.932704538698901e-5,1.5314954246162356e-5,9.218663889814034e-5,7179,Tbalc,0,50,40,0,0,5,male_Tbalc
44,male,5.294250699150224e-5,3.932704538698901e-5,1.5314954246162356e-5,9.218663889814034e-5,7179,Tbalc,0,50,40,0,0,5,male_Tbalc
45,male,1.2251295802354078e-4,9.81379167928794e-5,3.431019384650931e-5,1.9430738640723773e-4,7628,Tbalc,0,50,45,0,1,5,male_Tbalc
46,male,1.2251295802354078e-4,9.81379167928794e-5,3.431019384650931e-5,1.9430738640723773e-4,7628,Tbalc,0,50,45,0,1,5,male_Tbalc
47,male,1.2251295802354078e-4,9.81379167928794e-5,3.431019384650931e-5,1.9430738640723773e-4,7628,Tbalc,0,50,45,0,1,5,male_Tbalc
48,male,1.2251295802354078e-4,9.81379167928794e-5,3.431019384650931e-5,1.9430738640723773e-4,7628,Tbalc,0,50,45,0,1,5,male_Tbalc
49,male,1.2251295802354078e-4,9.81379167928794e-5,3.431019384650931e-5,1.9430738640723773e-4,7628,Tbalc,0,50,45,0,1,5,male_Tbalc
50,male,2.923504921372699e-4,2.2603370072476478e-4,8.201054037740115e-5,5.224786032186568e-4,7605,Tbalc,0,50,50,0,2,5,male_Tbalc
51,male,2.923504921372699e-4,2.2603370072476478e-4,8.201054037740115e-5,5.224786032186568e-4,7605,Tbalc,0,50,50,0,2,5,male_Tbalc
52,male,2.923504921372699e-4,2.2603370072476478e-4,8.201054037740115e-5,5.224786032186568e-4,7605,Tbalc,0,50,50,0,2,5,male_Tbalc
53,male,2.923504921372699e-4,2.2603370072476478e-4,8.201054037740115e-5,5.224786032186568e-4,7605,Tbalc,0,50,50,0,2,5,male_Tbalc
54,male,2.923504921372699e-4,2.2603370072476478e-4,8.201054037740115e-5,5.224786032186568e-4,7605,Tbalc,0,50,50,0,2,5,male_Tbalc
55,male,6.414078592790875e-4,4.5885274385121076e-4,1.866779729333923e-4,0.0014103508714475752,6479,Tbalc,0,50,55,0,3,5,male_Tbalc
56,male,6.414078592790875e-4,4.5885274385121076e-4,1.866779729333923e-4,0.0014103508714475752,6479,Tbalc,0,50,55,0,3,5,male_Tbalc
57,male,6.414078592790875e-4,4.5885274385121076e-4,1.866779729333923e-4,0.0014103508714475752,6479,Tbalc,0,50,55,0,3,5,male_Tbalc
58,male,6.414078592790875e-4,4.5885274385121076e-4,1.866779729333923e-4,0.0014103508714475752,6479,Tbalc,0,50,55,0,3,5,male_Tbalc
59,male,6.414078592790875e-4,4.5885274385121076e-4,1.866779729333923e-4,0.0014103508714475752,6479,Tbalc,0,50,55,0,3,5,male_Tbalc
60,male,0.0013952876451297756,9.668589645442264e-4,4.126406374640169e-4,0.003458022144094042,5560,Tbalc,0,50,60,0,5,5,male_Tbalc
61,male,0.0013952876451297756,9.668589645442264e-4,4.126406374640169e-4,0.003458022144094042,5560,Tbalc,0,50,60,0,5,5,male_Tbalc
62,male,0.0013952876451297756,9.668589645442264e-4,4.126406374640169e-4,0.003458022144094042,5560,Tbalc,0,50,60,0,5,5,male_Tbalc
63,male,0.0013952876451297756,9.668589645442264e-4,4.126406374640169e-4,0.003458022144094042,5560,Tbalc,0,50,60,0,5,5,male_Tbalc
64,male,0.0013952876451297756,9.668589645442264e-4,4.126406374640169e-4,0.003458022144094042,5560,Tbalc,0,50,60,0,5,5,male_Tbalc
65,male,0.0021562291132358803,0.0015040545216372517,6.236448669157444e-4,0.005325300331710906,5418,Tbalc,0,50,65,0,8,5,male_Tbalc
66,male,0.0021562291132358803,0.0015040545216372517,6.236448669157444e-4,0.005325300331710906,5418,Tbalc,0,50,65,0,8,5,male_Tbalc
67,male,0.0021562291132358803,0.0015040545216372517,6.236448669157444e-4,0.005325300331710906,5418,Tbalc,0,50,65,0,8,5,male_Tbalc
68,male,0.0021562291132358803,0.0015040545216372517,6.236448669157444e-4,0.005325300331710906,5418,Tbalc,0,50,65,0,8,5,male_Tbalc
69,male,0.0021562291132358803,0.0015040545216372517,6.236448669157444e-4,0.005325300331710906,5418,Tbalc,0,50,65,0,8,5,male_Tbalc
70,male,0.00292090008498454,0.0021289350234081432,8.062711267844995e-4,0.0066387072354535245,4800,Tbalc,0,50,70,0,10,5,male_Tbalc
71,male,0.00292090008498454,0.0021289350234081432,8.062711267844995e-4,0.0066387072354535245,4800,Tbalc,0,50,70,0,10,5,male_Tbalc
72,male,0.00292090008498454,0.0021289350234081432,8.062711267844995e-4,0.0066387072354535245,4800,Tbalc,0,50,70,0,10,5,male_Tbalc
73,male,0.00292090008498454,0.0021289350234081432,8.062711267844995e-4,0.0066387072354535245,4800,Tbalc,0,50,70,0,10,5,male_Tbalc
74,male,0.00292090008498454,0.0021289350234081432,8.062711267844995e-4,0.0066387072354535245,4800,Tbalc,0,50,70,0,10,5,male_Tbalc
75,male,0.0040043647068192766,0.002998325280266619,0.001044241467606597,0.00803558370446157,3332,Tbalc,0,50,75,0,10,5,male_Tbalc
76,male,0.0040043647068192766,0.002998325280266619,0.001044241467606597,0.00803558370446157,3332,Tbalc,0,50,75,0,10,5,male_Tbalc
77,male,0.0040043647068192766,0.002998325280266619,0.001044241467606597,0.00803558370446157,3332,Tbalc,0,50,75,0,10,5,male_Tbalc
78,male,0.0040043647068192766,0.002998325280266619,0.001044241467606597,0.00803558370446157,3332,Tbalc,0,50,75,0,10,5,male_Tbalc
79,male,0.0040043647068192766,0.002998325280266619,0.001044241467606597,0.00803558370446157,3332,Tbalc,0,50,75,0,10,5,male_Tbalc
80,male,0.004665142396592672,0.003938148683763561,0.001111010750687274,0.007601822744493745,2291,Tbalc,0,20,80,0,9,5,male_Tbalc
81,male,0.004665142396592672,0.003938148683763561,0.001111010750687274,0.007601822744493745,2291,Tbalc,0,20,80,0,9,5,male_Tbalc
82,male,0.004665142396592672,0.003938148683763561,0.001111010750687274,0.007601822744493745,2291,Tbalc,0,20,80,0,9,5,male_Tbalc
83,male,0.004665142396592672,0.003938148683763561,0.001111010750687274,0.007601822744493745,2291,Tbalc,0,20,80,0,9,5,male_Tbalc
84,male,0.004665142396592672,0.003938148683763561,0.001111010750687274,0.007601822744493745,2291,Tbalc,0,20,80,0,9,5,male_Tbalc
85,male,0.006710217046062914,0.005659299093611505,0.0015187580676212556,0.009729069684539318,1276,Tbalc,0,20,85,0,7,5,male_Tbalc
86,male,0.006710217046062914,0.005659299093611505,0.0015187580676212556,0.009729069684539318,1276,Tbalc,0,20,85,0,7,5,male_Tbalc
87,male,0.006710217046062914,0.005659299093611505,0.0015187580676212556,0.009729069684539318,1276,Tbalc,0,20,85,0,7,5,male_Tbalc
88,male,0.006710217046062914,0.005659299093611505,0.0015187580676212556,0.009729069684539318,1276,Tbalc,0,20,85,0,7,5,male_Tbalc
89,male,0.006710217046062914,0.005659299093611505,0.0015187580676212556,0.009729069684539318,1276,Tbalc,0,20,85,0,7,5,male_Tbalc
90,male,0.006502144720695487,0.005481451279566318,0.0013890608554541076,0.008079177854997233,506,Tbalc,0,10,90,0,3,5,male_Tbalc
91,male,0.006502144720695487,0.005481451279566318,0.0013890608554541076,0.008079177854997233,506,Tbalc,0,10,90,0,3,5,male_Tbalc
92,male,0.006502144720695487,0.005481451279566318,0.0013890608554541076,0.008079177854997233,506,Tbalc,0,10,90,0,3,5,male_Tbalc
93,male,0.006502144720695487,0.005481451279566318,0.0013890608554541076,0.008079177854997233,506,Tbalc,0,10,90,0,3,5,male_Tbalc
94,male,0.006502144720695487,0.005481451279566318,0.0013890608554541076,0.008079177854997233,506,Tbalc,0,10,90,0,3,5,male_Tbalc
95,male,0.00610800080925684,0.005150545683985425,0.0010854356525802228,0.0035656609940647494,91,Tbalc,0,10,95,0,0,6,male_Tbalc
96,male,0.00610800080925684,0.005150545683985425,0.0010854356525802228,0.0035656609940647494,91,Tbalc,0,10,95,0,0,6,male_Tbalc
97,male,0.00610800080925684,0.005150545683985425,0.0010854356525802228,0.0035656609940647494,91,Tbalc,0,10,95,0,0,6,male_Tbalc
98,male,0.00610800080925684,0.005150545683985425,0.0010854356525802228,0.0035656609940647494,91,Tbalc,0,10,95,0,0,6,male_Tbalc
99,male,0.00610800080925684,0.005150545683985425,0.0010854356525802228,0.0035656609940647494,91,Tbalc,0,10,95,0,0,6,male_Tbalc
100,male,0.00610800080925684,0.005150545683985425,0.0010854356525802228,0.0035656609940647494,91,Tbalc,0,10,95,0,0,6,male_Tbalc
