"","measure","location","sex","age","cause","metric","year","val","upper","lower"
"949746","YLDs (Years Lived with Disability)","Bristol, City of","Female","20 to 24","Chronic obstructive pulmonary disease","Rate",2017,63.3802667805,92.8820888704,38.4943893194
"949747","YLDs (Years Lived with Disability)","Bristol, City of","Male","25 to 29","Chronic obstructive pulmonary disease","Number",2017,16.4438924416,23.8947608779,10.4751269426
"949748","YLDs (Years Lived with Disability)","Bristol, City of","Female","25 to 29","Chronic obstructive pulmonary disease","Number",2017,23.2971404827,32.6953887506,15.5004478901
"949749","YLDs (Years Lived with Disability)","Bristol, City of","Male","25 to 29","Chronic obstructive pulmonary disease","Percent",2017,0.00685277458587,0.00993375491263,0.00421487790506
"949750","YLDs (Years Lived with Disability)","Bristol, City of","Female","25 to 29","Chronic obstructive pulmonary disease","Percent",2017,0.00797755655777,0.011623158671,0.00518790872554
"949751","YLDs (Years Lived with Disability)","Bristol, City of","Male","25 to 29","Chronic obstructive pulmonary disease","Rate",2017,69.181349321,100.528010939,44.0700654529
"949752","YLDs (Years Lived with Disability)","Bristol, City of","Female","25 to 29","Chronic obstructive pulmonary disease","Rate",2017,101.71350532,142.745527079,67.6737512103
"949753","YLDs (Years Lived with Disability)","Bristol, City of","Male","30 to 34","Chronic obstructive pulmonary disease","Number",2017,22.2185865015,31.1281823039,14.477254244
"949754","YLDs (Years Lived with Disability)","Bristol, City of","Female","30 to 34","Chronic obstructive pulmonary disease","Number",2017,30.6101922336,41.4566937079,20.514187757
"949755","YLDs (Years Lived with Disability)","Bristol, City of","Male","30 to 34","Chronic obstructive pulmonary disease","Percent",2017,0.00933619967436,0.0132567507655,0.006140945423
"949756","YLDs (Years Lived with Disability)","Bristol, City of","Female","30 to 34","Chronic obstructive pulmonary disease","Percent",2017,0.0112311530578,0.0158229769849,0.00750100851958
"949757","YLDs (Years Lived with Disability)","Bristol, City of","Male","30 to 34","Chronic obstructive pulmonary disease","Rate",2017,103.330591245,144.765891458,67.328461265
"949758","YLDs (Years Lived with Disability)","Bristol, City of","Female","30 to 34","Chronic obstructive pulmonary disease","Rate",2017,152.067635677,205.951708733,101.911938554
"949759","YLDs (Years Lived with Disability)","Bristol, City of","Male","35 to 39","Chronic obstructive pulmonary disease","Number",2017,29.986911843,41.2599385918,20.8261390486
"949760","YLDs (Years Lived with Disability)","Bristol, City of","Female","35 to 39","Chronic obstructive pulmonary disease","Number",2017,40.2066460316,54.8051095723,28.800652438
"949761","YLDs (Years Lived with Disability)","Bristol, City of","Male","35 to 39","Chronic obstructive pulmonary disease","Percent",2017,0.0126015456811,0.0171862455444,0.00874865786671
"949762","YLDs (Years Lived with Disability)","Bristol, City of","Female","35 to 39","Chronic obstructive pulmonary disease","Percent",2017,0.0153704072739,0.0210487937768,0.0107916433454
"949763","YLDs (Years Lived with Disability)","Bristol, City of","Male","35 to 39","Chronic obstructive pulmonary disease","Rate",2017,149.929543631,206.292791859,104.127211881
"949764","YLDs (Years Lived with Disability)","Bristol, City of","Female","35 to 39","Chronic obstructive pulmonary disease","Rate",2017,224.563592193,306.099450983,160.858430318
"949765","YLDs (Years Lived with Disability)","Bristol, City of","Male","40 to 44","Chronic obstructive pulmonary disease","Number",2017,35.0078887682,47.3315387023,24.2913926228
"949766","YLDs (Years Lived with Disability)","Bristol, City of","Female","40 to 44","Chronic obstructive pulmonary disease","Number",2017,46.5582494905,61.863298468,33.9757585905
"949767","YLDs (Years Lived with Disability)","Bristol, City of","Male","40 to 44","Chronic obstructive pulmonary disease","Percent",2017,0.0170717969107,0.0233340109806,0.0114862283198
"949768","YLDs (Years Lived with Disability)","Bristol, City of","Female","40 to 44","Chronic obstructive pulmonary disease","Percent",2017,0.0211339088394,0.0285307290277,0.0150254982251
"949769","YLDs (Years Lived with Disability)","Bristol, City of","Male","40 to 44","Chronic obstructive pulmonary disease","Rate",2017,220.623943727,298.289074224,153.087290541
"949770","YLDs (Years Lived with Disability)","Bristol, City of","Female","40 to 44","Chronic obstructive pulmonary disease","Rate",2017,326.303119638,433.568433136,238.118832676
"949771","YLDs (Years Lived with Disability)","Bristol, City of","Male","45 to 49","Chronic obstructive pulmonary disease","Number",2017,46.5868921378,61.322150725,34.0161493095
"949772","YLDs (Years Lived with Disability)","Bristol, City of","Female","45 to 49","Chronic obstructive pulmonary disease","Number",2017,60.1836842516,77.8265416873,45.2138066817
"949773","YLDs (Years Lived with Disability)","Bristol, City of","Male","45 to 49","Chronic obstructive pulmonary disease","Percent",2017,0.0235328575287,0.0306037134888,0.016791107572
"949774","YLDs (Years Lived with Disability)","Bristol, City of","Female","45 to 49","Chronic obstructive pulmonary disease","Percent",2017,0.0273462296778,0.0364404285778,0.0195078991984
"949775","YLDs (Years Lived with Disability)","Bristol, City of","Male","45 to 49","Chronic obstructive pulmonary disease","Rate",2017,321.400973477,423.058891338,234.675957127
"949776","YLDs (Years Lived with Disability)","Bristol, City of","Female","45 to 49","Chronic obstructive pulmonary disease","Rate",2017,446.904322276,577.914401558,335.742915773
"949777","YLDs (Years Lived with Disability)","Bristol, City of","Male","50 to 54","Chronic obstructive pulmonary disease","Number",2017,62.1046750788,82.1156150926,45.7793071386
"949778","YLDs (Years Lived with Disability)","Bristol, City of","Female","50 to 54","Chronic obstructive pulmonary disease","Number",2017,77.4812431861,99.9301579972,57.8270097563
"949779","YLDs (Years Lived with Disability)","Bristol, City of","Male","50 to 54","Chronic obstructive pulmonary disease","Percent",2017,0.0312658790623,0.0426774808423,0.0222360822283
"949780","YLDs (Years Lived with Disability)","Bristol, City of","Female","50 to 54","Chronic obstructive pulmonary disease","Percent",2017,0.035440111643,0.0477493927663,0.0246466687593
"949781","YLDs (Years Lived with Disability)","Bristol, City of","Male","50 to 54","Chronic obstructive pulmonary disease","Rate",2017,464.019013574,613.532019384,342.042992957
"949782","YLDs (Years Lived with Disability)","Bristol, City of","Female","50 to 54","Chronic obstructive pulmonary disease","Rate",2017,596.637510013,769.503407417,445.291811201
"949783","YLDs (Years Lived with Disability)","Bristol, City of","Male","55 to 59","Chronic obstructive pulmonary disease","Number",2017,74.8498254276,97.8755892578,54.6103158513
"949784","YLDs (Years Lived with Disability)","Bristol, City of","Female","55 to 59","Chronic obstructive pulmonary disease","Number",2017,88.8328696238,113.577779721,67.1078770632
"949785","YLDs (Years Lived with Disability)","Bristol, City of","Male","55 to 59","Chronic obstructive pulmonary disease","Percent",2017,0.0397861711295,0.0528354310378,0.0280609298609
"949786","YLDs (Years Lived with Disability)","Bristol, City of","Female","55 to 59","Chronic obstructive pulmonary disease","Percent",2017,0.0441133847829,0.0595687164627,0.0310742771667
"949787","YLDs (Years Lived with Disability)","Bristol, City of","Male","55 to 59","Chronic obstructive pulmonary disease","Rate",2017,647.601446955,846.820588595,472.489005311
"949788","YLDs (Years Lived with Disability)","Bristol, City of","Female","55 to 59","Chronic obstructive pulmonary disease","Rate",2017,775.953517953,992.099862464,586.186098795
"949789","YLDs (Years Lived with Disability)","Bristol, City of","Male","60 to 64","Chronic obstructive pulmonary disease","Number",2017,86.426534411,109.437159404,63.8046372774
"949790","YLDs (Years Lived with Disability)","Bristol, City of","Female","60 to 64","Chronic obstructive pulmonary disease","Number",2017,99.152270865,126.449566168,75.660607881
"949791","YLDs (Years Lived with Disability)","Bristol, City of","Male","60 to 64","Chronic obstructive pulmonary disease","Percent",2017,0.0486022093575,0.0647713823561,0.0349996175315
"949792","YLDs (Years Lived with Disability)","Bristol, City of","Female","60 to 64","Chronic obstructive pulmonary disease","Percent",2017,0.0534092752953,0.0725524577421,0.0381347224209
"949793","YLDs (Years Lived with Disability)","Bristol, City of","Male","60 to 64","Chronic obstructive pulmonary disease","Rate",2017,871.309378656,1103.29106694,643.24665151
"949794","YLDs (Years Lived with Disability)","Bristol, City of","Female","60 to 64","Chronic obstructive pulmonary disease","Rate",2017,1010.01606031,1288.08035897,770.717891034
"949795","YLDs (Years Lived with Disability)","Bristol, City of","Male","65 to 69","Chronic obstructive pulmonary disease","Number",2017,100.661483266,126.584555842,76.6671051431
"949796","YLDs (Years Lived with Disability)","Bristol, City of","Female","65 to 69","Chronic obstructive pulmonary disease","Number",2017,115.371155249,147.370031935,88.9540526207
"949797","YLDs (Years Lived with Disability)","Bristol, City of","Male","65 to 69","Chronic obstructive pulmonary disease","Percent",2017,0.0574397024644,0.0750575284533,0.0415683433541
"949798","YLDs (Years Lived with Disability)","Bristol, City of","Female","65 to 69","Chronic obstructive pulmonary disease","Percent",2017,0.0629363396666,0.0848015902168,0.0455534300941
"949799","YLDs (Years Lived with Disability)","Bristol, City of","Male","65 to 69","Chronic obstructive pulmonary disease","Rate",2017,1145.28598485,1440.22830779,872.287573858
"949800","YLDs (Years Lived with Disability)","Bristol, City of","Female","65 to 69","Chronic obstructive pulmonary disease","Rate",2017,1311.59208491,1675.36995727,1011.27037418
"949801","YLDs (Years Lived with Disability)","Bristol, City of","Male","70 to 74","Chronic obstructive pulmonary disease","Number",2017,104.642090163,128.652943782,79.6665225788
"949802","YLDs (Years Lived with Disability)","Bristol, City of","Female","70 to 74","Chronic obstructive pulmonary disease","Number",2017,123.180525136,152.827057765,96.6176331261
"949803","YLDs (Years Lived with Disability)","Bristol, City of","Male","70 to 74","Chronic obstructive pulmonary disease","Percent",2017,0.0652761331842,0.0833083672091,0.0479908426323
"949804","YLDs (Years Lived with Disability)","Bristol, City of","Female","70 to 74","Chronic obstructive pulmonary disease","Percent",2017,0.0725439127458,0.0964731432798,0.053746721328
"949805","YLDs (Years Lived with Disability)","Bristol, City of","Male","70 to 74","Chronic obstructive pulmonary disease","Rate",2017,1455.66902102,1789.68237765,1108.23559381
"949806","YLDs (Years Lived with Disability)","Bristol, City of","Female","70 to 74","Chronic obstructive pulmonary disease","Rate",2017,1648.65731707,2045.44871644,1293.13759326
"949807","YLDs (Years Lived with Disability)","Bristol, City of","Male","75 to 79","Chronic obstructive pulmonary disease","Number",2017,88.5923384785,108.84335515,68.1934841807
"949808","YLDs (Years Lived with Disability)","Bristol, City of","Female","75 to 79","Chronic obstructive pulmonary disease","Number",2017,111.863967924,139.031114793,88.0352117069
"949809","YLDs (Years Lived with Disability)","Bristol, City of","Male","75 to 79","Chronic obstructive pulmonary disease","Percent",2017,0.0704377578181,0.0910619212499,0.0521428838352
"949810","YLDs (Years Lived with Disability)","Bristol, City of","Female","75 to 79","Chronic obstructive pulmonary disease","Percent",2017,0.0772813453051,0.102334166877,0.0568349055157
"949811","YLDs (Years Lived with Disability)","Bristol, City of","Male","75 to 79","Chronic obstructive pulmonary disease","Rate",2017,1769.18674614,2173.59903401,1361.82214464
"949812","YLDs (Years Lived with Disability)","Bristol, City of","Female","75 to 79","Chronic obstructive pulmonary disease","Rate",2017,1950.94762028,2424.75238081,1535.36558704
"949813","YLDs (Years Lived with Disability)","Bristol, City of","Male","80 to 84","Chronic obstructive pulmonary disease","Number",2017,68.2747396761,83.701973671,53.4402762358
"949814","YLDs (Years Lived with Disability)","Bristol, City of","Female","80 to 84","Chronic obstructive pulmonary disease","Number",2017,99.0826660454,121.281581416,77.8021233298
"949815","YLDs (Years Lived with Disability)","Bristol, City of","Male","80 to 84","Chronic obstructive pulmonary disease","Percent",2017,0.0705961047084,0.0914911587888,0.0521040446152
"949816","YLDs (Years Lived with Disability)","Bristol, City of","Female","80 to 84","Chronic obstructive pulmonary disease","Percent",2017,0.0747873715949,0.0986991417668,0.0541284116286
"949817","YLDs (Years Lived with Disability)","Bristol, City of","Male","80 to 84","Chronic obstructive pulmonary disease","Rate",2017,2012.34964645,2467.05645343,1575.11433217
"949818","YLDs (Years Lived with Disability)","Bristol, City of","Female","80 to 84","Chronic obstructive pulmonary disease","Rate",2017,2156.86460118,2640.09801281,1693.62263254
"949819","YLDs (Years Lived with Disability)","Bristol, City of","Male","85 to 89","Chronic obstructive pulmonary disease","Number",2017,42.8313884388,51.9964583265,34.5784716586
"949820","YLDs (Years Lived with Disability)","Bristol, City of","Female","85 to 89","Chronic obstructive pulmonary disease","Number",2017,73.8386862719,89.8092299929,59.3082891316
"949821","YLDs (Years Lived with Disability)","Bristol, City of","Male","85 to 89","Chronic obstructive pulmonary disease","Percent",2017,0.0672160971953,0.0882072086798,0.0501251078711
"949822","YLDs (Years Lived with Disability)","Bristol, City of","Female","85 to 89","Chronic obstructive pulmonary disease","Percent",2017,0.0692843811389,0.0917364716585,0.0507500426456
"949823","YLDs (Years Lived with Disability)","Bristol, City of","Male","85 to 89","Chronic obstructive pulmonary disease","Rate",2017,2193.57137442,2662.95225799,1770.90559905
"949824","YLDs (Years Lived with Disability)","Bristol, City of","Female","85 to 89","Chronic obstructive pulmonary disease","Rate",2017,2284.94191028,2779.15119975,1835.29803015
"949825","YLDs (Years Lived with Disability)","Bristol, City of","Male","90 to 94","Chronic obstructive pulmonary disease","Number",2017,18.6158085152,23.1828447209,14.7705972956
"949826","YLDs (Years Lived with Disability)","Bristol, City of","Female","90 to 94","Chronic obstructive pulmonary disease","Number",2017,43.4483802106,53.3709843991,34.5425053554
"949827","YLDs (Years Lived with Disability)","Bristol, City of","Male","90 to 94","Chronic obstructive pulmonary disease","Percent",2017,0.0669385749385,0.0875241794014,0.0491362413796
"949828","YLDs (Years Lived with Disability)","Bristol, City of","Female","90 to 94","Chronic obstructive pulmonary disease","Percent",2017,0.0668740721837,0.0892035700221,0.0482097201147
"949829","YLDs (Years Lived with Disability)","Bristol, City of","Male","90 to 94","Chronic obstructive pulmonary disease","Rate",2017,2401.58541637,2990.76893417,1905.52298747
"949830","YLDs (Years Lived with Disability)","Bristol, City of","Female","90 to 94","Chronic obstructive pulmonary disease","Rate",2017,2441.97453787,2999.6649894,1941.42838337
"949831","YLDs (Years Lived with Disability)","Bristol, City of","Male","95 plus","Chronic obstructive pulmonary disease","Number",2017,4.41550777058,5.56844543537,3.37622850639
"949832","YLDs (Years Lived with Disability)","Bristol, City of","Female","95 plus","Chronic obstructive pulmonary disease","Number",2017,16.2999638925,20.4256403125,12.5943869537
"949833","YLDs (Years Lived with Disability)","Bristol, City of","Male","95 plus","Chronic obstructive pulmonary disease","Percent",2017,0.0718639714565,0.0947300270573,0.051108312512
"949834","YLDs (Years Lived with Disability)","Bristol, City of","Female","95 plus","Chronic obstructive pulmonary disease","Percent",2017,0.0695708476971,0.0942468892095,0.0488235386892
"949835","YLDs (Years Lived with Disability)","Bristol, City of","Male","95 plus","Chronic obstructive pulmonary disease","Rate",2017,2723.58995818,3434.74926519,2082.53784939
"949836","YLDs (Years Lived with Disability)","Bristol, City of","Female","95 plus","Chronic obstructive pulmonary disease","Rate",2017,2735.72922144,3428.16839583,2113.79808217
"949837","YLDs (Years Lived with Disability)","Bristol, City of","Male","Under 5","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949838","YLDs (Years Lived with Disability)","Bristol, City of","Female","Under 5","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949839","YLDs (Years Lived with Disability)","Bristol, City of","Male","Under 5","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949840","YLDs (Years Lived with Disability)","Bristol, City of","Female","Under 5","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949841","YLDs (Years Lived with Disability)","Bristol, City of","Male","Under 5","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949842","YLDs (Years Lived with Disability)","Bristol, City of","Female","Under 5","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949843","YLDs (Years Lived with Disability)","Bristol, City of","Male","5 to 9","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949844","YLDs (Years Lived with Disability)","Bristol, City of","Female","5 to 9","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949845","YLDs (Years Lived with Disability)","Bristol, City of","Male","5 to 9","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949846","YLDs (Years Lived with Disability)","Bristol, City of","Female","5 to 9","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949847","YLDs (Years Lived with Disability)","Bristol, City of","Male","5 to 9","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949848","YLDs (Years Lived with Disability)","Bristol, City of","Female","5 to 9","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949849","YLDs (Years Lived with Disability)","Bristol, City of","Male","10 to 14","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949850","YLDs (Years Lived with Disability)","Bristol, City of","Female","10 to 14","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949851","YLDs (Years Lived with Disability)","Bristol, City of","Male","10 to 14","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949852","YLDs (Years Lived with Disability)","Bristol, City of","Female","10 to 14","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949853","YLDs (Years Lived with Disability)","Bristol, City of","Male","10 to 14","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949854","YLDs (Years Lived with Disability)","Bristol, City of","Female","10 to 14","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949855","YLDs (Years Lived with Disability)","Bristol, City of","Male","15 to 19","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949856","YLDs (Years Lived with Disability)","Bristol, City of","Female","15 to 19","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949857","YLDs (Years Lived with Disability)","Bristol, City of","Male","15 to 19","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949858","YLDs (Years Lived with Disability)","Bristol, City of","Female","15 to 19","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949859","YLDs (Years Lived with Disability)","Bristol, City of","Male","15 to 19","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949860","YLDs (Years Lived with Disability)","Bristol, City of","Female","15 to 19","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949861","YLDs (Years Lived with Disability)","Bristol, City of","Male","20 to 24","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949862","YLDs (Years Lived with Disability)","Bristol, City of","Female","20 to 24","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949863","YLDs (Years Lived with Disability)","Bristol, City of","Male","20 to 24","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949864","YLDs (Years Lived with Disability)","Bristol, City of","Female","20 to 24","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949865","YLDs (Years Lived with Disability)","Bristol, City of","Male","20 to 24","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949866","YLDs (Years Lived with Disability)","Bristol, City of","Female","20 to 24","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949867","YLDs (Years Lived with Disability)","Bristol, City of","Male","25 to 29","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949868","YLDs (Years Lived with Disability)","Bristol, City of","Female","25 to 29","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949869","YLDs (Years Lived with Disability)","Bristol, City of","Male","25 to 29","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949870","YLDs (Years Lived with Disability)","Bristol, City of","Female","25 to 29","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949871","YLDs (Years Lived with Disability)","Bristol, City of","Male","25 to 29","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949872","YLDs (Years Lived with Disability)","Bristol, City of","Female","25 to 29","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949873","YLDs (Years Lived with Disability)","Bristol, City of","Male","30 to 34","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949874","YLDs (Years Lived with Disability)","Bristol, City of","Female","30 to 34","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949875","YLDs (Years Lived with Disability)","Bristol, City of","Male","30 to 34","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949876","YLDs (Years Lived with Disability)","Bristol, City of","Female","30 to 34","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949877","YLDs (Years Lived with Disability)","Bristol, City of","Male","30 to 34","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949878","YLDs (Years Lived with Disability)","Bristol, City of","Female","30 to 34","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949879","YLDs (Years Lived with Disability)","Bristol, City of","Male","35 to 39","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949880","YLDs (Years Lived with Disability)","Bristol, City of","Female","35 to 39","Alzheimer's disease and other dementias","Number",2017,0,0,0
"949881","YLDs (Years Lived with Disability)","Bristol, City of","Male","35 to 39","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949882","YLDs (Years Lived with Disability)","Bristol, City of","Female","35 to 39","Alzheimer's disease and other dementias","Percent",2017,0,0,0
"949883","YLDs (Years Lived with Disability)","Bristol, City of","Male","35 to 39","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949884","YLDs (Years Lived with Disability)","Bristol, City of","Female","35 to 39","Alzheimer's disease and other dementias","Rate",2017,0,0,0
"949885","YLDs (Years Lived with Disability)","Bristol, City of","Male","40 to 44","Alzheimer's disease and other dementias","Number",2017,0.12519108806,0.231570461102,0.0542956511056
"949886","YLDs (Years Lived with Disability)","Bristol, City of","Female","40 to 44","Alzheimer's disease and other dementias","Number",2017,0.138775024097,0.260551164347,0.0626903679534
"949887","YLDs (Years Lived with Disability)","Bristol, City of","Male","40 to 44","Alzheimer's disease and other dementias","Percent",2017,6.03512359446e-05,0.000105652005173,3.05436037109e-05
"949888","YLDs (Years Lived with Disability)","Bristol, City of","Female","40 to 44","Alzheimer's disease and other dementias","Percent",2017,6.21344827348e-05,0.000111140751807,3.00097249635e-05
"949889","YLDs (Years Lived with Disability)","Bristol, City of","Male","40 to 44","Alzheimer's disease and other dementias","Rate",2017,0.78896935917,1.45938501797,0.342177751805
"949890","YLDs (Years Lived with Disability)","Bristol, City of","Female","40 to 44","Alzheimer's disease and other dementias","Rate",2017,0.97260364782,1.82607075399,0.439364943018
"949891","YLDs (Years Lived with Disability)","Bristol, City of","Male","45 to 49","Alzheimer's disease and other dementias","Number",2017,0.79517331395,1.36311399955,0.392978033671
"949892","YLDs (Years Lived with Disability)","Bristol, City of","Female","45 to 49","Alzheimer's disease and other dementias","Number",2017,0.864919624522,1.53235079422,0.408994839323
"949893","YLDs (Years Lived with Disability)","Bristol, City of","Male","45 to 49","Alzheimer's disease and other dementias","Percent",2017,0.000397280550288,0.000655855089405,0.000205919302471
"949894","YLDs (Years Lived with Disability)","Bristol, City of","Female","45 to 49","Alzheimer's disease and other dementias","Percent",2017,0.00038762530716,0.000658574560484,0.000203520585552
"949895","YLDs (Years Lived with Disability)","Bristol, City of","Male","45 to 49","Alzheimer's disease and other dementias","Rate",2017,5.48586663456,9.40406509882,2.7111386225
"949896","YLDs (Years Lived with Disability)","Bristol, City of","Female","45 to 49","Alzheimer's disease and other dementias","Rate",2017,6.4226097725,11.3787349794,3.03706168465
"949897","YLDs (Years Lived with Disability)","Bristol, City of","Male","50 to 54","Alzheimer's disease and other dementias","Number",2017,2.00214060906,3.49571229127,0.854255320423
