age,sex,inc,mort,ylds (years lived with disability)_rate_lvrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
29,female,4.0880174370778e-6,1.3849062155160337e-6,1.12432616883096e-6,0,8833,lvrc,0,50,25,0,0,5,female_lvrc
30,female,5.583937323347454e-6,1.755816988487896e-6,1.58862306003943e-6,0,7963,lvrc,0,50,30,0,0,5,female_lvrc
31,female,5.583937323347454e-6,1.755816988487896e-6,1.58862306003943e-6,0,7963,lvrc,0,50,30,0,0,5,female_lvrc
32,female,5.583937323347454e-6,1.755816988487896e-6,1.58862306003943e-6,0,7963,lvrc,0,50,30,0,0,5,female_lvrc
33,female,5.583937323347454e-6,1.755816988487896e-6,1.58862306003943e-6,0,7963,lvrc,0,50,30,0,0,5,female_lvrc
34,female,5.583937323347454e-6,1.755816988487896e-6,1.58862306003943e-6,0,7963,lvrc,0,50,30,0,0,5,female_lvrc
35,female,7.944536539004156e-6,3.4245610833305865e-6,2.4001736834733396e-6,0,7482,lvrc,0,50,35,0,0,5,female_lvrc
36,female,7.944536539004156e-6,3.4245610833305865e-6,2.4001736834733396e-6,0,7482,lvrc,0,50,35,0,0,5,female_lvrc
37,female,7.944536539004156e-6,3.4245610833305865e-6,2.4001736834733396e-6,0,7482,lvrc,0,50,35,0,0,5,female_lvrc
38,female,7.944536539004156e-6,3.4245610833305865e-6,2.4001736834733396e-6,0,7482,lvrc,0,50,35,0,0,5,female_lvrc
39,female,7.944536539004156e-6,3.4245610833305865e-6,2.4001736834733396e-6,0,7482,lvrc,0,50,35,0,0,5,female_lvrc
40,female,1.163127314058875e-5,5.4770478452915615e-6,3.5161282707419106e-6,0,6901,lvrc,0,50,40,0,0,5,female_lvrc
41,female,1.163127314058875e-5,5.4770478452915615e-6,3.5161282707419106e-6,0,6901,lvrc,0,50,40,0,0,5,female_lvrc
42,female,1.163127314058875e-5,5.4770478452915615e-6,3.5161282707419106e-6,0,6901,lvrc,0,50,40,0,0,5,female_lvrc
43,female,1.163127314058875e-5,5.4770478452915615e-6,3.5161282707419106e-6,0,6901,lvrc,0,50,40,0,0,5,female_lvrc
44,female,1.163127314058875e-5,5.4770478452915615e-6,3.5161282707419106e-6,0,6901,lvrc,0,50,40,0,0,5,female_lvrc
45,female,1.8866150110746094e-5,1.1238461343785057e-5,5.441386189610592e-6,0,7531,lvrc,0,50,45,0,0,5,female_lvrc
46,female,1.8866150110746094e-5,1.1238461343785057e-5,5.441386189610592e-6,0,7531,lvrc,0,50,45,0,0,5,female_lvrc
47,female,1.8866150110746094e-5,1.1238461343785057e-5,5.441386189610592e-6,0,7531,lvrc,0,50,45,0,0,5,female_lvrc
48,female,1.8866150110746094e-5,1.1238461343785057e-5,5.441386189610592e-6,0,7531,lvrc,0,50,45,0,0,5,female_lvrc
49,female,1.8866150110746094e-5,1.1238461343785057e-5,5.441386189610592e-6,0,7531,lvrc,0,50,45,0,0,5,female_lvrc
50,female,3.638152851539403e-5,2.2690856560402893e-5,1.0356769622329005e-5,0,7629,lvrc,0,50,50,0,0,5,female_lvrc
51,female,3.638152851539403e-5,2.2690856560402893e-5,1.0356769622329005e-5,0,7629,lvrc,0,50,50,0,0,5,female_lvrc
52,female,3.638152851539403e-5,2.2690856560402893e-5,1.0356769622329005e-5,0,7629,lvrc,0,50,50,0,0,5,female_lvrc
53,female,3.638152851539403e-5,2.2690856560402893e-5,1.0356769622329005e-5,0,7629,lvrc,0,50,50,0,0,5,female_lvrc
54,female,3.638152851539403e-5,2.2690856560402893e-5,1.0356769622329005e-5,0,7629,lvrc,0,50,50,0,0,5,female_lvrc
55,female,5.761731271908223e-5,3.9399100365931495e-5,1.595321404329589e-5,0,6580,lvrc,0,50,55,0,0,5,female_lvrc
56,female,5.761731271908223e-5,3.9399100365931495e-5,1.595321404329589e-5,0,6580,lvrc,0,50,55,0,0,5,female_lvrc
57,female,5.761731271908223e-5,3.9399100365931495e-5,1.595321404329589e-5,0,6580,lvrc,0,50,55,0,0,5,female_lvrc
58,female,5.761731271908223e-5,3.9399100365931495e-5,1.595321404329589e-5,0,6580,lvrc,0,50,55,0,0,5,female_lvrc
59,female,5.761731271908223e-5,3.9399100365931495e-5,1.595321404329589e-5,0,6580,lvrc,0,50,55,0,0,5,female_lvrc
60,female,8.659119589211371e-5,6.910596327910974e-5,2.238836311165342e-5,0,5725,lvrc,0,50,60,0,0,5,female_lvrc
61,female,8.659119589211371e-5,6.910596327910974e-5,2.238836311165342e-5,0,5725,lvrc,0,50,60,0,0,5,female_lvrc
62,female,8.659119589211371e-5,6.910596327910974e-5,2.238836311165342e-5,0,5725,lvrc,0,50,60,0,0,5,female_lvrc
63,female,8.659119589211371e-5,6.910596327910974e-5,2.238836311165342e-5,0,5725,lvrc,0,50,60,0,0,5,female_lvrc
64,female,8.659119589211371e-5,6.910596327910974e-5,2.238836311165342e-5,0,5725,lvrc,0,50,60,0,0,5,female_lvrc
65,female,1.3484184519454325e-4,1.108105008253897e-4,3.46565356833703e-5,0,5670,lvrc,0,50,65,0,1,5,female_lvrc
66,female,1.3484184519454325e-4,1.108105008253897e-4,3.46565356833703e-5,0,5670,lvrc,0,50,65,0,1,5,female_lvrc
67,female,1.3484184519454325e-4,1.108105008253897e-4,3.46565356833703e-5,0,5670,lvrc,0,50,65,0,1,5,female_lvrc
68,female,1.3484184519454325e-4,1.108105008253897e-4,3.46565356833703e-5,0,5670,lvrc,0,50,65,0,1,5,female_lvrc
69,female,1.3484184519454325e-4,1.108105008253897e-4,3.46565356833703e-5,0,5670,lvrc,0,50,65,0,1,5,female_lvrc
70,female,1.9707397242145307e-4,1.6910956018559875e-4,4.929780024773622e-5,3.312004594434856e-5,5104,lvrc,0,50,70,0,1,5,female_lvrc
71,female,1.9707397242145307e-4,1.6910956018559875e-4,4.929780024773622e-5,3.312004594434856e-5,5104,lvrc,0,50,70,0,1,5,female_lvrc
72,female,1.9707397242145307e-4,1.6910956018559875e-4,4.929780024773622e-5,3.312004594434856e-5,5104,lvrc,0,50,70,0,1,5,female_lvrc
73,female,1.9707397242145307e-4,1.6910956018559875e-4,4.929780024773622e-5,3.312004594434856e-5,5104,lvrc,0,50,70,0,1,5,female_lvrc
74,female,1.9707397242145307e-4,1.6910956018559875e-4,4.929780024773622e-5,3.312004594434856e-5,5104,lvrc,0,50,70,0,1,5,female_lvrc
75,female,3.2344710511948385e-4,2.768498326446766e-4,8.113214280717202e-5,2.010056567369541e-4,3792,lvrc,0,50,75,0,1,5,female_lvrc
76,female,3.2344710511948385e-4,2.768498326446766e-4,8.113214280717202e-5,2.010056567369541e-4,3792,lvrc,0,50,75,0,1,5,female_lvrc
77,female,3.2344710511948385e-4,2.768498326446766e-4,8.113214280717202e-5,2.010056567369541e-4,3792,lvrc,0,50,75,0,1,5,female_lvrc
78,female,3.2344710511948385e-4,2.768498326446766e-4,8.113214280717202e-5,2.010056567369541e-4,3792,lvrc,0,50,75,0,1,5,female_lvrc
79,female,3.2344710511948385e-4,2.768498326446766e-4,8.113214280717202e-5,2.010056567369541e-4,3792,lvrc,0,50,75,0,1,5,female_lvrc
80,female,4.491250593663085e-4,3.890304256443879e-4,1.1192529299318951e-4,3.4300329348835247e-4,2983,lvrc,0,20,80,0,1,5,female_lvrc
81,female,4.491250593663085e-4,3.890304256443879e-4,1.1192529299318951e-4,3.4300329348835247e-4,2983,lvrc,0,20,80,0,1,5,female_lvrc
82,female,4.491250593663085e-4,3.890304256443879e-4,1.1192529299318951e-4,3.4300329348835247e-4,2983,lvrc,0,20,80,0,1,5,female_lvrc
83,female,4.491250593663085e-4,3.890304256443879e-4,1.1192529299318951e-4,3.4300329348835247e-4,2983,lvrc,0,20,80,0,1,5,female_lvrc
84,female,4.491250593663085e-4,3.890304256443879e-4,1.1192529299318951e-4,3.4300329348835247e-4,2983,lvrc,0,20,80,0,1,5,female_lvrc
85,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,lvrc,0,20,85,0,1,5,female_lvrc
86,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,lvrc,0,20,85,0,1,5,female_lvrc
87,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,lvrc,0,20,85,0,1,5,female_lvrc
88,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,lvrc,0,20,85,0,1,5,female_lvrc
89,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,lvrc,0,20,85,0,1,5,female_lvrc
90,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,lvrc,0,10,90,0,1,5,female_lvrc
91,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,lvrc,0,10,90,0,1,5,female_lvrc
92,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,lvrc,0,10,90,0,1,5,female_lvrc
93,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,lvrc,0,10,90,0,1,5,female_lvrc
94,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,lvrc,0,10,90,0,1,5,female_lvrc
95,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,lvrc,0,10,95,0,0,6,female_lvrc
96,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,lvrc,0,10,95,0,0,6,female_lvrc
97,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,lvrc,0,10,95,0,0,6,female_lvrc
98,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,lvrc,0,10,95,0,0,6,female_lvrc
99,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,lvrc,0,10,95,0,0,6,female_lvrc
100,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,lvrc,0,10,95,0,0,6,female_lvrc
